month;shore;pool;composition;removed;grid_squares;bare rock;red_crusts;corallina;sargassum;u_lactuca;u_intestinalis;u_linza;l_digitata;l_saccharina;f_serratus;bifurcaria;diatoms;mastocarpus;chondrus;gastroclonium;dumontia;scytosiphon;colpomenia;gelidium;ceramium;polysiphonia;red_sp1;red_sp2;palmaria;osmundea_pinnatifida;calliblepharis;red_sp4;lomentaria;cystoclonium;himanthalia;petalonia_fascia;furcellaria;dresceliacea;osmundea_hybrida;dictyota_dicotoma;boergesniella;sphacelaria;odonthalia;codium;brogniartella;totcover;cover_nocrusts
March;Challaborough;w4;None;4;49;NA;14;10;0;2;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0;0.000001;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;12
March;Challaborough;p20;B;3;28;NA;8;7;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;10
March;Challaborough;p20;B;3;35;NA;7;7;0;5;0;0;0;0;0;3;0;0.000001;0;0;0;0.000001;0.000001;0;0.000001;0;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;22;15
March;Challaborough;p30;SFL;1;49;NA;13;10;16;12;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;40
March;Challaborough;p30;SFL;1;49;NA;12;10;15;7;0;0;0;0;3;0;0;0;0;0.000001;0;0;0.000001;0;0.000001;0;0;0;0;0.000001;0;0;0;0.000001;0;0.000001;0;0;0;0;0;0;0;0;0;47;35
March;Challaborough;w2;None;4;49;NA;20;18;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;22
March;Challaborough;w2;None;4;49;NA;17;11;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0.000001;0;0.000001;0;0;0;0;0;0;0;0;0.000001;0;0.000001;0;0;0;0;0;0;0;0;0;37;20
March;Challaborough;w8;SLB;1;49;NA;7;11;6;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;18
March;Challaborough;w8;SLB;1;49;NA;11;14;8;8;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0.000001;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;38
March;Challaborough;w15;L;3;49;NA;7;9;0;7;0;0;0;0;1;0;0;0;0;0;0;0.000001;0;0;0;0;0;0.000001;0.000001;0.000001;0.000001;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;24;17
March;Challaborough;w15;L;3;35;NA;4;3;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;14
March;Challaborough;w5;L;3;49;NA;3;13;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;30
March;Challaborough;w5;L;3;49;NA;3;4;0;5;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0.000001;0.000001;0;0;0.000001;0;0.000001;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;13;10
March;Challaborough;p13;None;4;49;NA;14;11;0;0;0;0;0;0;0;0;0;0;0.000001;0;0;0.000001;0;0;1;0.000001;0;0;0;0;0;1;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;27;13
March;Challaborough;w13;SLB;1;49;NA;11;10;1;15;0;0;2;0;0;0;0;0;0;0;0;0.000001;0;0;0.000001;0;0;0;0;0;0.000001;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;39;28
March;Challaborough;w1;L;3;49;NA;13;9;0;3;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;26;13
March;Challaborough;w11;F;3;35;NA;6;10;0;9;0;0;2;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;32;26
March;Challaborough;w11;F;3;21;NA;4;6;0;1;0;0;0;0;2;0;0;0.000001;1;0;0;0;0;0;0.000001;0;0;0;0.000001;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;10
March;Challaborough;p23;L;3;35;NA;9;11;0;1;0;0;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0.000001;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;21;12
March;Challaborough;p23;L;3;28;NA;8;4;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;5
March;Challaborough;p14;SLB;1;49;NA;18;7;1;1;0;0;0;0;0;0;0;0;0;0.000001;0;0.000001;0;0;0;0;0;0;0;0.000001;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;27;9
March;Challaborough;p14;SLB;1;35;NA;20;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;9
March;Challaborough;p21;SFB;1;49;NA;3;7;28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;36
March;Challaborough;p21;SFB;1;49;NA;17;12;23;2;0;0;0;0;4;0;0;0;0;0.000001;0;0;0.000001;0;0.000001;0;0;0;0;0.000001;0.000001;0.000001;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;58;41
March;Challaborough;p27;SFL;1;28;NA;14;5;12;3;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;22
March;Challaborough;p27;SFL;1;30;NA;8;13;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0.000001;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;25;17
March;Challaborough;w18;None;4;49;NA;16;6;0;5;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;1;0;0;0.000001;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;32;16
March;Challaborough;p26;F;3;49;NA;12;11;0;9;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;23
March;Challaborough;p26;F;3;49;NA;19;9;0;3;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;34;15
March;Challaborough;33;S;3;49;NA;11;2;0;27;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;30
March;Challaborough;33;S;3;49;NA;9;3;1;19;0;0;0;0;0;0;0;0;0;0;0;0.000001;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;23
March;Challaborough;1;FLB;1;49;NA;16;19;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0.000001;0;0;0.000001;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;24
March;Challaborough;13;F;3;49;NA;3;1;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;13
March;Challaborough;13;F;3;35;NA;4;5;1;7;0;0;0;0;0;0;0;0;0;0;0;0.000001;0;0;0.000001;0;0;0;0.000001;0;0;0;0;0;0;0.000001;0.000001;0;0;0;0;0;0;0;0;17;13
March;Challaborough;36;F;3;49;NA;2;1;0.000001;16;0;0;0;0;3;0;0;0;0.000001;0.000001;0;0;0;0;0.000001;0;0.000001;0;0;0.000001;0;2;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;24;22
March;Challaborough;35;All;0;49;NA;3;0;7;7;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0.000001;0.000001;1;0;0.000001;0;0;0;0;0;0.000001;1;0;0;0;0;0;0;0;0;0;21;18
March;Challaborough;35;All;0;49;NA;5;4;7;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;29
March;Challaborough;16;B;3;49;NA;15;12;0;1;0;0;0;0;0.000001;0;0;0;0;0.000001;0;1;0;0;1;0;0;0;0;0.000001;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;31;16
March;Challaborough;w7a;FLB;1;35;NA;11;6;0;3;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;22;11
March;Challaborough;11;All;0;49;NA;27;13;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;44;17
March;Challaborough;11;All;0;12;NA;6;4;2;1;0;0;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;10
March;Kingsand;k2;F;3;49;NA;11;2;0;2;0;0;0;0;0;0;25;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;31
March;Kingsand;k2;F;3;18;NA;0;1;0;2;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;14;14
March;Kingsand;k4;SFL;1;24;NA;11;3;5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;13
March;Kingsand;k4;SFL;1;18;NA;6;4;3;0;0;0;0;0;3;0;0;0.000001;0;0;0;0;0;0;2;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;12
March;Kingsand;k3;None;4;24;NA;11;6;1;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;13
March;Kingsand;k3;None;4;24;NA;9;8;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;16
March;Kingsand;k5;FLB;1;49;NA;3;10;1;10;0;0;8;0;1;0;0;0;0;1;0;0;0;0;1;0.000001;0;0;0;1;0.000001;0;0;0;0;0.000001;0;0.000001;0;0;0;0;0;0;0;36;33
March;Kingsand;k6;S;3;49;NA;0;9;14;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;33
March;Kingsand;k6;S;3;49;NA;7;8;3;6;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0.000001;0.000001;0;0;0;0;1;0;0;0;0.000001;0.000001;0;0;0;0;0;0;0;0;0;27;20
March;Kingsand;k1;L;3;49;NA;6;3;0;13;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;21
March;Kingsand;k8;S;3;49;NA;35;6;0.000001;5;0;0;0;0;0;0;5;0;0;0;0;0.000001;0;0;0.000001;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;51;16
March;Kingsand;k9;SLB;1;49;NA;41;11;0;5;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;26
March;Kingsand;k9;SLB;1;24;NA;18;5;0.000001;2;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;25;7
March;Kingsand;k10;All;0;49;NA;34;0;3;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;11
March;Kingsand;k10;All;0;18;NA;12;3;6;6;0;0;0;0;0;0;0;0;0;1;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0.000001;0.000001;0;0.000001;0;0;0;0;0;0;0;28;16
March;Kingsand;k11;All;0;49;NA;40;9;12;6;0;0;0;0;0;0;0;0;0;1;0;0.000001;0;0.000001;0;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;68;28
March;Kingsand;k12;All;0;49;NA;35;12;4;6;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;24
March;Kingsand;k12;SFL;1;49;NA;35;14;9;3;0;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;26
March;Kingsand;k20;None;4;49;NA;35;12;0;7;0;0;0;0;0;0;0;0;0;0;1;0;0.000001;0.000001;0.000001;0;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;55;20
March;Kingsand;k13;SFL;1;49;NA;25;13;5;13;0;0;0;0;1;0;0;0;0;0;0;0.000001;0.000001;1;0.000001;0.000001;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;33
March;Kingsand;k14;None;4;49;NA;42;8;0.000001;6;0;0;0;0;0;0;0;0.000001;0;0;0;0;0.000001;0;0.000001;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;14
March;Kingsand;k15;SFB;1;49;NA;24;25;0.000001;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000001;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;29
March;Kingsand;k16;B;3;49;NA;25;10;0;19;0;0;0;0;0.000001;0;0;0;0;0.000001;0;0;0.000001;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;29
March;Kingsand;k18;All;0;49;NA;14;10;0;1;0;0;8;0;0;0;0;0;1;0;0;0;0;0.000001;0;0;0;0;0;0;1;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;35;21
March;Kingsand;k17;All;0;28;NA;14;7;3;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30;16
March;Kingsand;k17;All;0;28;NA;9;7;8;11;0;0;0;0;0;0;0;0;0;0;0;0.000001;0;0.000001;0;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;26
March;Kingsand;k19;SLB;1;49;NA;0;0;1;7;0;0;0.000001;7;0;0;0;0;0;0;0;0;0.000001;0.000001;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;18
March;Kingsand;k42;FLB;1;49;NA;30;13;0;16;0;0;0;0;0.000001;0;0;0;0;0;0.000001;0;0.000001;0.000001;2;0;0;0;0;0.000001;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64;34
March;Kingsand;k41;L;3;49;NA;30;21;0;9;0;0;0;0;0;0;0;0;0;0.000001;0;0.000001;0.000001;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;30
March;Kingsand;k39;SLB;1;49;NA;21;16;16;3;0;0;4;0;0;0;0;0;0;0.000001;0;0.000001;0;0;2;0;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67;46
March;Kingsand;k40;B;3;49;NA;27;22;0;5;0;0;0;0;0;0;0;0;0;0;0;0.000001;0.000001;0.000001;2;0;0;0;3;0.000001;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;32
March;Kingsand;k21;S;3;21;NA;6;0;1;17;0;0;0;0;0.000001;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;20
March;Kingsand;k22;B;3;49;NA;23;9;0;9;0;0;0;0;0;0;13;0;0;1;0;0.000001;0;0;1;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;33
March;Kingsand;k38;All;0;49;NA;13;10;3;10;0;0;0;0;1;0;0;0;0;0;0;0;0.000001;3;5;0;0;0;0;0;0.000001;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;45;32
March;Kingsand;k23;FLB;1;49;NA;10;22;0.000001;19;0;0;0;0;0;0;0;0;0;0;2;0;0.000001;4;1;0;0;0;0;0;1;0;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;59;49
March;Kingsand;k24;F;3;49;NA;40;5;1;11;0;0;0;0;0.000001;0;0;0;0;0;0;0.000001;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;17
March;Kingsand;k37;SFB;1;49;NA;40;11;11;3;0;0;0;0;0;0;0;0;0;0;0;0.000001;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;68;28
March;Kingsand;k26;L;3;49;NA;44;6;0;7;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;14
March;Kingsand;k27;SFB;1;35;NA;16;10;0;12;0;0;0;0;1;0;0;0.000001;0;1;0;0;0.000001;0;1;0;0;0;0.000001;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;43;27
March;Kingsand;k36;None;4;49;NA;20;18;0;0.000001;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0.000001;0.000001;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;38;18
March;Kingsand;k34;L;3;49;NA;34;8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000001;1;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44;10
March;Kingsand;k31;F;3;49;NA;30;9;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;18
March;Kingsand;k33;F;3;21;NA;15;5;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0.000001;1;0;0;0;3;0;0;0;0;0;0;0.000001;0;0;0.000001;0;0;0;0;0;0;27;12
March;Kingsand;k32;All;0;49;NA;18;14;4;4;0;0;6;0;1;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;29
March;Kingsand;k29;SLB;1;28;NA;17;7;5;7;0;0;9;0;0;0;0;0;0;0;0;0;0.000001;0;0.000001;0;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;45;28
March;Kingsand;k30;SFL;1;49;NA;33;9;0;30;0;0;0;0;0;0;0;0;0.000001;0;0;0.000001;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;72;39
March;Kingsand;k28;B;3;49;NA;45;6;0;4;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;57;12
July;Challaborough;w12;All;0;49;0;0;7;11;11;0;0;0;0;19;3;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;56
July;Challaborough;w12;All;0;28;0;0;11;9;3;0;0;0;0;8;0;0;0;0;0;0;0;0.000001;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;32
July;Challaborough;w20;S;3;49;4;3;9;32;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;45
July;Challaborough;w20;S;3;35;2;3;11;25;5;0;0;0;0;0;0;0;0;0;0;0;0;0.000001;0;1;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45;42
July;Challaborough;w3;FLB;1;49;4;13;13;0;3;0;0;2;0;29;0;0;0;0;0;0;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;47
July;Challaborough;w9;B;3;49;18;8;4;0;1;14;7;0;0;0;0.000001;0;0;0.000001;0;0.000001;0;0.000001;0;5;0;0;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;39;31
July;Challaborough;w16;All;0;49;12;2;5;30;5;0.000001;0.000001;0;0;14;0;0;0;0;0;0;0;0.000001;0;0.000001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;54
